,city_name,city_lon,city_lat,state,region,city_area,park_area,golf_area,park_num,golf_num,private_golf_area,public_golf_area,private_golf_num,public_golf_num,park_fraction,golf_fraction,private_golf_fraction,public_golf_fraction,greenspace_area,Population,golf_per_capita,golf_vs_greenspace
34,"Portland, OR--WA",-122.6510867,45.5204041,41,4,1358250897,66110126.18048003,12788874.693419237,865,46,5511148.1035929695,6644998.720285899,11,16,0.0486729854745533,0.0094156939057918,0.0040575331963818,0.0048923205093866,78899000.87389927,1787543,7.154443106218556,0.16209171918233947
35,"Providence, RI--MA",-71.3974011,41.776323,44,1,1411529449,50472378.88827312,19049368.543907437,528,49,8587164.402967922,7815572.18170331,16,24,0.0357572269739255,0.0134955516212594,0.006083588556407,0.0055369529748318,69521747.43218055,946687,20.122140204637265,0.2740058938030918
36,"Richmond, VA",-77.4879829,37.4779416,51,3,1275892883,25891992.474385,7067029.869366411,173,14,3677056.56737362,2031922.9957611545,5,4,0.0202932337184178,0.0055388896384073,0.0028819477060862,0.0015925498314431,32959022.343751412,794910,8.890352202597038,0.21441867406319548
37,"Riverside--San Bernardino, CA",-117.3419723,33.9850491,6,4,1412865310,39459923.8728655,10300495.764916236,373,23,1433157.256858172,7523376.797552875,3,14,0.0279290061080666,0.0072905008651647,0.0010143622656133,0.0053249072960485,49760419.63778173,1749755,5.886821734995034,0.2070017865583945
38,"Sacramento, CA",-121.3246689,38.6385784,6,4,1220321493,37700171.52948928,11362177.798049493,572,22,2927016.400743341,8371797.599777599,5,15,0.0308936388859368,0.0093108069170502,0.002398561704873,0.0068603213561343,49062349.32753877,1646422,6.901133365594903,0.23158650072372064
39,"Salt Lake City--West Valley City, UT",-111.9295154,40.6408381,49,4,719701614,22233495.04906434,13957683.471542008,407,40,1862598.556195136,10268008.28669606,5,19,0.0308926569241573,0.0193937087259915,0.0025880149772668,0.014267035236489,36191178.52060635,958309,14.564909096692203,0.385665348355397
40,"San Antonio, TX",-98.4753761,29.5143992,48,3,1547459088,56611185.09563486,19008024.60482735,310,33,6104578.627430246,9364397.53190139,8,12,0.0365833161824016,0.0122833777979837,0.0039449046987859,0.0060514669528383,75619209.7004622,1753927,10.837409199372237,0.25136502589911575
41,"San Diego, CA",-117.1287986,32.9287279,6,4,1900942006,81675499.82389191,26428942.8980299,589,67,10443227.82520592,8172067.737959255,18,22,0.0429658030419113,0.0139030769032466,0.0054937119555692,0.0042989568919859,108104442.7219218,2806777,9.416117809868721,0.244476010722458
42,"San Francisco--Oakland, CA",-122.1284982,37.6901153,6,4,1356356204,56250364.01934484,15122843.459981944,667,36,6995721.66959972,6950968.301382285,12,18,0.041471675252753,0.0111496105634961,0.0051577319062417,0.0051247366148238,71373207.47932678,3199698,4.726334629074977,0.2118840387600945
43,"San Jose, CA",-121.9451454,37.3298452,6,4,739667041,21426552.882469483,7329334.392232783,370,18,3591019.7466628226,3540167.3041555844,7,9,0.0289678351133526,0.0099089644204287,0.004854913829617,0.0047861633788216,28755887.274702266,1712925,4.2788413924910795,0.2548811769296613
44,"Seattle, WA",-122.2746615,47.4684093,53,4,2614585107,104188533.72078288,29056805.051462177,1207,84,6860916.202475829,15430878.600860544,15,30,0.0398489739124727,0.0111133521619429,0.0026240936598725,0.0059018459791374,133245338.77224505,3088813,9.407110450345222,0.21806995516089828
45,"St. Louis, MO--IL",-90.3409258,38.6307051,29,2,2391346348,65978001.42400067,26853743.72337508,515,54,8642362.32316112,12008540.498035263,13,23,0.0275903160072071,0.0112295501426776,0.0036140153141719,0.0050216651001134,92831745.14737575,1813524,14.807492883124281,0.2892732834090667
46,"Tampa--St. Petersburg, FL",-82.5131884,28.0062474,12,3,2478119968,51076062.37606616,39090430.24742663,528,94,15778306.875703497,10101188.935883185,19,20,0.0206108110324004,0.015774228347377,0.0063670472291289,0.0040761500921343,90166492.62349279,2247914,17.389646689075573,0.4335361075943821
47,"Tucson, AZ",-110.946141,32.2548912,4,4,914144417,20621459.2150164,15874185.05579398,162,30,7115849.636207434,4843168.001723794,12,9,0.0225582072498905,0.0173650735710766,0.0077841635346414,0.0052980337807213,36495644.27081038,720178,22.042029964528187,0.4349610857120922
48,"Virginia Beach, VA",-76.3090924,36.9105086,51,3,1325644733,33599539.07806769,17161354.915522143,327,31,7157958.030510332,8474970.282706711,10,14,0.0253458096589953,0.012945666729792,0.0053996050769285,0.0063930931657137,50760893.99358983,1220306,14.063157040547324,0.3380822039440303
49,"Washington, DC--VA--MD",-77.1897402,38.8973945,51,3,3424474158,230189871.5426535,52796644.666802734,1777,111,18915251.366830017,16263226.467385322,27,29,0.0672190417921248,0.0154174457831615,0.0055235491623266,0.0047491164240186,282986516.2094562,4590605,11.501021034657247,0.18656947113241468
